gene,#H0,#H1,#H2,#H3,#H4
143,NaN,NaN,NaN,NaN,NaN
144,0,0.7608695652173914,NaN,NaN,NaN
145,NaN,NaN,NaN,NaN,NaN
146,NaN,NaN,NaN,NaN,NaN
147,NaN,NaN,NaN,NaN,NaN
148,0,0.006802721088435374,NaN,NaN,NaN
149,NaN,NaN,NaN,NaN,NaN
150,NaN,NaN,NaN,NaN,NaN
151,0,0.4206896551724138,NaN,NaN,NaN
152,NaN,NaN,NaN,NaN,NaN
153,NaN,NaN,NaN,NaN,NaN
154,NaN,NaN,NaN,NaN,NaN
155,NaN,NaN,NaN,NaN,NaN
156,0,0.15723270440251572,NaN,NaN,NaN
157,NaN,0,NaN,NaN,NaN
158,NaN,NaN,NaN,NaN,NaN
159,NaN,NaN,NaN,NaN,NaN
160,NaN,NaN,NaN,NaN,NaN
161,0,0.7771084337349398,NaN,NaN,NaN
162,NaN,NaN,NaN,NaN,NaN
163,NaN,NaN,NaN,NaN,NaN
164,NaN,NaN,NaN,NaN,NaN
165,NaN,NaN,NaN,NaN,NaN
166,0,0.003436426116838488,NaN,NaN,NaN
167,NaN,NaN,NaN,NaN,NaN
168,NaN,0.006622516556291391,NaN,NaN,NaN
169,1,0.3951219512195122,NaN,NaN,NaN
170,NaN,NaN,NaN,NaN,NaN
171,NaN,NaN,NaN,NaN,NaN
172,NaN,NaN,NaN,NaN,NaN
173,NaN,NaN,NaN,NaN,NaN
174,NaN,NaN,NaN,NaN,NaN
175,1,0,NaN,NaN,NaN
176,NaN,NaN,NaN,NaN,NaN
177,0,0.006802721088435374,NaN,NaN,NaN
178,NaN,NaN,NaN,NaN,NaN
179,NaN,NaN,NaN,NaN,NaN
180,0,0.5693430656934306,NaN,NaN,NaN
181,NaN,NaN,NaN,NaN,NaN
182,NaN,NaN,NaN,NaN,NaN
183,NaN,NaN,NaN,NaN,NaN
184,0,0.3902439024390244,NaN,NaN,NaN
185,NaN,NaN,NaN,NaN,NaN
186,NaN,1,NaN,NaN,NaN
187,NaN,NaN,NaN,NaN,NaN
188,0,0,NaN,NaN,NaN
189,NaN,NaN,NaN,NaN,NaN
190,NaN,NaN,NaN,NaN,NaN
191,0,NaN,NaN,NaN,NaN
192,NaN,NaN,NaN,NaN,NaN
193,0,0.7487684729064039,NaN,NaN,NaN
194,NaN,NaN,NaN,NaN,NaN
195,NaN,NaN,NaN,NaN,NaN
196,1,0,NaN,NaN,NaN
197,NaN,NaN,NaN,NaN,NaN
198,NaN,NaN,NaN,NaN,NaN
199,NaN,NaN,NaN,NaN,NaN
200,0,0,NaN,NaN,NaN
201,NaN,NaN,NaN,NaN,NaN
202,NaN,NaN,NaN,NaN,NaN
203,0,0.007142857142857143,NaN,NaN,NaN
204,NaN,NaN,NaN,NaN,NaN
205,0,0.01195219123505976,NaN,NaN,NaN
206,0,0.20304568527918782,NaN,NaN,NaN
207,NaN,NaN,NaN,NaN,NaN
208,NaN,NaN,NaN,NaN,NaN
209,0,0.8092485549132948,NaN,NaN,NaN
210,NaN,NaN,NaN,NaN,NaN
211,NaN,NaN,NaN,NaN,NaN
212,NaN,NaN,NaN,NaN,NaN
213,1,0.0024096385542168677,NaN,NaN,NaN
214,NaN,NaN,NaN,NaN,NaN
215,NaN,NaN,NaN,NaN,NaN
216,0,0,NaN,NaN,NaN
217,NaN,NaN,NaN,NaN,NaN
218,0,0.07784431137724551,NaN,NaN,NaN
219,0,0.7154811715481172,NaN,NaN,NaN
220,NaN,NaN,NaN,NaN,NaN
221,NaN,NaN,NaN,NaN,NaN
222,0,0.41379310344827586,NaN,NaN,NaN
223,NaN,NaN,NaN,NaN,NaN
224,0,0.48484848484848486,NaN,NaN,NaN
225,NaN,NaN,NaN,NaN,NaN
226,NaN,NaN,NaN,NaN,NaN
227,0,0.7430555555555556,NaN,NaN,NaN
228,NaN,NaN,NaN,NaN,NaN
229,1,0.41379310344827586,NaN,NaN,NaN
230,NaN,0,NaN,NaN,NaN
231,0,0.04145077720207254,NaN,NaN,NaN
232,1,0,NaN,NaN,NaN
233,NaN,NaN,NaN,NaN,NaN
234,NaN,NaN,NaN,NaN,NaN
235,0,0.5467625899280576,NaN,NaN,NaN
236,NaN,NaN,NaN,NaN,NaN
237,NaN,NaN,NaN,NaN,NaN
238,0,0,NaN,NaN,NaN
239,NaN,NaN,NaN,NaN,NaN
240,1,0.07547169811320754,NaN,NaN,NaN
241,NaN,NaN,NaN,NaN,NaN
242,NaN,NaN,NaN,NaN,NaN
243,NaN,0,NaN,NaN,NaN
244,1,0.004048582995951417,NaN,NaN,NaN
245,NaN,NaN,NaN,NaN,NaN
246,0,0,NaN,NaN,NaN
247,NaN,NaN,NaN,NaN,NaN
248,NaN,NaN,NaN,NaN,NaN
249,0,0.23282887077997672,NaN,NaN,NaN
250,NaN,NaN,NaN,NaN,NaN
251,1,0,NaN,NaN,NaN
252,NaN,NaN,NaN,NaN,NaN
253,0,0.018292682926829267,NaN,NaN,NaN
254,1,0.24009603841536614,NaN,NaN,NaN
255,NaN,NaN,NaN,NaN,NaN
256,NaN,NaN,NaN,NaN,NaN
257,0,0.05945945945945946,NaN,NaN,NaN
258,1,0.4537037037037037,NaN,NaN,NaN
259,0,0.2512820512820513,NaN,NaN,NaN
260,NaN,NaN,NaN,NaN,NaN
261,0,0.0053475935828877,NaN,NaN,NaN
262,NaN,NaN,NaN,NaN,NaN
263,NaN,NaN,NaN,NaN,NaN
264,NaN,NaN,NaN,NaN,NaN
265,0.7777777777777778,0.0038314176245210726,NaN,NaN,NaN
266,0,0.27450980392156865,NaN,NaN,NaN
267,0,0.04580152671755725,NaN,NaN,NaN
268,NaN,NaN,NaN,NaN,NaN
269,0,0.011529592621060722,NaN,NaN,NaN
270,NaN,NaN,NaN,NaN,NaN
271,1,0.015873015873015872,NaN,NaN,NaN
272,NaN,NaN,NaN,NaN,NaN
273,NaN,NaN,NaN,NaN,NaN
274,0,0.08077260755048288,NaN,NaN,NaN
275,NaN,NaN,NaN,NaN,NaN
276,1,0.5853658536585366,NaN,NaN,NaN
277,NaN,NaN,NaN,NaN,NaN
278,NaN,NaN,NaN,NaN,NaN
279,NaN,NaN,NaN,NaN,NaN
280,NaN,NaN,NaN,NaN,NaN
281,NaN,NaN,NaN,NaN,NaN
282,0,0.01935483870967742,NaN,NaN,NaN
283,0,0.007142857142857143,NaN,NaN,NaN
284,NaN,NaN,NaN,NaN,NaN
285,1,0,NaN,NaN,NaN
286,NaN,NaN,NaN,NaN,NaN
287,NaN,NaN,NaN,NaN,NaN
