gene,#H1,#H2,#H3,#H4,#H5
318,NaN,NaN,NaN,0,NaN
319,NaN,NaN,NaN,NaN,NaN
320,NaN,NaN,NaN,0.9113300492610837,NaN
321,NaN,NaN,NaN,NaN,NaN
322,NaN,NaN,NaN,0.39978094194961666,NaN
323,NaN,NaN,NaN,0,NaN
324,NaN,NaN,NaN,NaN,NaN
325,NaN,NaN,NaN,0.957983193277311,NaN
326,NaN,NaN,NaN,0.01092896174863388,NaN
327,NaN,NaN,NaN,NaN,NaN
328,NaN,NaN,NaN,0.005274261603375527,NaN
329,NaN,NaN,NaN,0.4319526627218935,NaN
330,NaN,NaN,NaN,0.00975609756097561,NaN
331,NaN,NaN,NaN,0.1557377049180328,NaN
332,NaN,NaN,NaN,0.017937219730941704,NaN
333,NaN,NaN,NaN,0.5714285714285714,NaN
334,NaN,NaN,NaN,NaN,NaN
335,NaN,NaN,NaN,0.24,NaN
336,NaN,NaN,NaN,0.6036036036036037,NaN
337,NaN,NaN,NaN,NaN,NaN
338,NaN,NaN,NaN,0.012195121951219513,NaN
339,NaN,NaN,NaN,NaN,NaN
340,NaN,NaN,NaN,0.007575757575757576,NaN
341,NaN,NaN,NaN,0.17679558011049723,NaN
342,NaN,NaN,NaN,NaN,NaN
343,NaN,NaN,NaN,0.0189873417721519,NaN
344,NaN,NaN,NaN,NaN,NaN
345,NaN,NaN,NaN,0.11029411764705882,NaN
346,NaN,NaN,NaN,0,NaN
347,NaN,NaN,NaN,0.01948051948051948,NaN
348,NaN,NaN,NaN,0,NaN
349,NaN,NaN,NaN,0,NaN
350,NaN,NaN,NaN,0.20689655172413793,NaN
351,NaN,NaN,NaN,NaN,NaN
352,NaN,NaN,NaN,0,NaN
353,NaN,NaN,NaN,0,NaN
354,NaN,NaN,NaN,0,NaN
355,NaN,NaN,NaN,0.08536585365853659,NaN
356,NaN,NaN,NaN,0.6031746031746031,NaN
357,NaN,NaN,NaN,0.6597938144329897,NaN
358,NaN,NaN,NaN,NaN,NaN
359,NaN,NaN,NaN,0.007168458781362007,NaN
360,NaN,NaN,NaN,0.005405405405405406,NaN
